benchmarking,file,topic,description,started_at_time,ended_time,duration_secs,number_of_bytes
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223210.7511168,1517223210.755555,0.004438161849975586,-1
benchmarking,siumulator_no_flask,image_binning,,1517223210.7556143,1517223210.7556152,9.5367431640625e-07,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223210.755636,1517223210.8061237,0.05048775672912598,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223210.7511168,1517223210.806164,0.05504727363586426,-1
benchmarking,siumulator_no_flask,stream_file,,1517223210.8063004,1517223210.8255825,0.019282102584838867,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223210.8357937,1517223210.8385503,0.0027565956115722656,-1
benchmarking,siumulator_no_flask,image_binning,,1517223210.8385968,1517223210.8385978,9.5367431640625e-07,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223210.8386161,1517223210.9133723,0.07475614547729492,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223210.8357937,1517223210.9134219,0.07762813568115234,-1
benchmarking,siumulator_no_flask,stream_file,,1517223210.913449,1517223210.9311197,0.017670631408691406,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223210.9412806,1517223210.943077,0.0017964839935302734,-1
benchmarking,siumulator_no_flask,image_binning,,1517223210.9431546,1517223210.9431562,1.6689300537109375e-06,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223210.9431877,1517223211.0236406,0.08045291900634766,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223210.9412806,1517223211.023703,0.08242249488830566,-1
benchmarking,siumulator_no_flask,stream_file,,1517223211.0237355,1517223211.0465071,0.022771596908569336,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223211.0567033,1517223211.0584376,0.0017342567443847656,-1
benchmarking,siumulator_no_flask,image_binning,,1517223211.0584931,1517223211.058494,9.5367431640625e-07,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223211.0585167,1517223211.111446,0.05292916297912598,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223211.0567033,1517223211.1114876,0.054784297943115234,-1
benchmarking,siumulator_no_flask,stream_file,,1517223211.1115105,1517223211.130092,0.018581390380859375,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223211.1402419,1517223211.1414847,0.0012428760528564453,-1
benchmarking,siumulator_no_flask,image_binning,,1517223211.141532,1517223211.141533,9.5367431640625e-07,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223211.1415517,1517223211.2093575,0.06780576705932617,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223211.1402419,1517223211.2094023,0.06916046142578125,-1
benchmarking,siumulator_no_flask,stream_file,,1517223211.209426,1517223211.226753,0.017327070236206055,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223211.2369738,1517223211.2385235,0.0015497207641601562,-1
benchmarking,siumulator_no_flask,image_binning,,1517223211.2385745,1517223211.2385752,7.152557373046875e-07,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223211.2385943,1517223211.2878351,0.049240827560424805,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223211.2369738,1517223211.2878785,0.05090475082397461,-1
benchmarking,siumulator_no_flask,stream_file,,1517223211.287901,1517223211.3071225,0.01922154426574707,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223211.3172667,1517223211.3190022,0.0017354488372802734,-1
benchmarking,siumulator_no_flask,image_binning,,1517223211.3190467,1517223211.3190475,7.152557373046875e-07,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223211.3190646,1517223211.3690813,0.05001664161682129,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223211.3172667,1517223211.3691196,0.05185294151306152,-1
benchmarking,siumulator_no_flask,stream_file,,1517223211.3693564,1517223211.387562,0.018205642700195312,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223211.3977282,1517223211.4006379,0.0029096603393554688,-1
benchmarking,siumulator_no_flask,image_binning,,1517223211.4006822,1517223211.4006832,9.5367431640625e-07,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223211.4007025,1517223211.4482868,0.04758429527282715,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223211.3977282,1517223211.448328,0.05059981346130371,-1
benchmarking,siumulator_no_flask,stream_file,,1517223211.4485686,1517223211.4693632,0.02079463005065918,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223211.4795473,1517223211.482328,0.0027806758880615234,-1
benchmarking,siumulator_no_flask,image_binning,,1517223211.482371,1517223211.482372,9.5367431640625e-07,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223211.48239,1517223211.5629375,0.08054757118225098,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223211.4795473,1517223211.5629933,0.08344602584838867,-1
benchmarking,siumulator_no_flask,stream_file,,1517223211.5633054,1517223211.586438,0.0231325626373291,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223211.59663,1517223211.6010003,0.004370212554931641,-1
benchmarking,siumulator_no_flask,image_binning,,1517223211.6010735,1517223211.601075,1.430511474609375e-06,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223211.6011074,1517223211.6779222,0.07681488990783691,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223211.59663,1517223211.6779766,0.08134651184082031,-1
benchmarking,siumulator_no_flask,stream_file,,1517223211.6782947,1517223211.704295,0.026000261306762695,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223211.7144744,1517223211.71842,0.003945589065551758,-1
benchmarking,siumulator_no_flask,image_binning,,1517223211.7184753,1517223211.7184765,1.1920928955078125e-06,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223211.7184987,1517223211.771225,0.05272626876831055,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223211.7144744,1517223211.771268,0.0567934513092041,-1
benchmarking,siumulator_no_flask,stream_file,,1517223211.7715118,1517223211.7914453,0.019933462142944336,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223211.8016288,1517223211.8050041,0.0033752918243408203,-1
benchmarking,siumulator_no_flask,image_binning,,1517223211.8050478,1517223211.8050487,9.5367431640625e-07,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223211.8050675,1517223211.8553011,0.05023360252380371,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223211.8016288,1517223211.855342,0.053713083267211914,-1
benchmarking,siumulator_no_flask,stream_file,,1517223211.855578,1517223211.8769836,0.021405696868896484,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223211.8871286,1517223211.890354,0.0032253265380859375,-1
benchmarking,siumulator_no_flask,image_binning,,1517223211.8903973,1517223211.8903983,9.5367431640625e-07,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223211.890417,1517223211.9678435,0.07742643356323242,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223211.8871286,1517223211.9678972,0.08076858520507812,-1
benchmarking,siumulator_no_flask,stream_file,,1517223211.9681973,1517223211.990894,0.022696733474731445,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223212.001024,1517223212.0058782,0.0048542022705078125,-1
benchmarking,siumulator_no_flask,image_binning,,1517223212.0059516,1517223212.0059533,1.6689300537109375e-06,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223212.0059855,1517223212.082644,0.07665848731994629,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223212.001024,1517223212.0827012,0.08167719841003418,-1
benchmarking,siumulator_no_flask,stream_file,,1517223212.0830336,1517223212.1021233,0.019089698791503906,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223212.112304,1517223212.1162848,0.003980875015258789,-1
benchmarking,siumulator_no_flask,image_binning,,1517223212.1163378,1517223212.1163385,7.152557373046875e-07,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223212.1163607,1517223212.170987,0.0546262264251709,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223212.112304,1517223212.1710281,0.058724164962768555,-1
benchmarking,siumulator_no_flask,stream_file,,1517223212.171263,1517223212.18985,0.018587112426757812,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223212.2000325,1517223212.203322,0.003289461135864258,-1
benchmarking,siumulator_no_flask,image_binning,,1517223212.203367,1517223212.203368,9.5367431640625e-07,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223212.203387,1517223212.253454,0.05006694793701172,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223212.2000325,1517223212.2534935,0.05346107482910156,-1
benchmarking,siumulator_no_flask,stream_file,,1517223212.2537317,1517223212.2746592,0.02092742919921875,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223212.2848413,1517223212.287955,0.0031137466430664062,-1
benchmarking,siumulator_no_flask,image_binning,,1517223212.2880013,1517223212.2880023,9.5367431640625e-07,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223212.288022,1517223212.339058,0.05103588104248047,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223212.2848413,1517223212.3390985,0.05425715446472168,-1
benchmarking,siumulator_no_flask,stream_file,,1517223212.3393393,1517223212.357681,0.018341779708862305,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223212.3678684,1517223212.3709524,0.003083944320678711,-1
benchmarking,siumulator_no_flask,image_binning,,1517223212.3709953,1517223212.370996,7.152557373046875e-07,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223212.3710136,1517223212.4180639,0.04705023765563965,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223212.3678684,1517223212.4181042,0.050235748291015625,-1
benchmarking,siumulator_no_flask,stream_file,,1517223212.4183366,1517223212.435605,0.01726841926574707,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223212.445757,1517223212.4487348,0.0029778480529785156,-1
benchmarking,siumulator_no_flask,image_binning,,1517223212.4487786,1517223212.4487793,7.152557373046875e-07,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223212.4487972,1517223212.4982533,0.049456119537353516,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223212.445757,1517223212.4982946,0.05253767967224121,-1
benchmarking,siumulator_no_flask,stream_file,,1517223212.498541,1517223212.5195956,0.021054506301879883,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223212.5297925,1517223212.534356,0.004563570022583008,-1
benchmarking,siumulator_no_flask,image_binning,,1517223212.534428,1517223212.5344296,1.6689300537109375e-06,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223212.5344608,1517223212.6104205,0.07595968246459961,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223212.5297925,1517223212.610473,0.08068037033081055,-1
benchmarking,siumulator_no_flask,stream_file,,1517223212.6107824,1517223212.6325233,0.02174091339111328,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223212.6427138,1517223212.6465302,0.003816366195678711,-1
benchmarking,siumulator_no_flask,image_binning,,1517223212.6465814,1517223212.6465824,9.5367431640625e-07,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223212.646604,1517223212.7031364,0.05653238296508789,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223212.6427138,1517223212.7031782,0.06046438217163086,-1
benchmarking,siumulator_no_flask,stream_file,,1517223212.7034087,1517223212.7217329,0.01832413673400879,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223212.7318788,1517223212.7350402,0.0031614303588867188,-1
benchmarking,siumulator_no_flask,image_binning,,1517223212.735106,1517223212.7351077,1.6689300537109375e-06,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223212.7351396,1517223212.8123012,0.07716155052185059,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223212.7318788,1517223212.8123543,0.0804755687713623,-1
benchmarking,siumulator_no_flask,stream_file,,1517223212.812645,1517223212.8322983,0.0196533203125,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223212.842503,1517223212.847736,0.005232810974121094,-1
benchmarking,siumulator_no_flask,image_binning,,1517223212.8478076,1517223212.847809,1.430511474609375e-06,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223212.8478408,1517223212.92223,0.07438921928405762,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223212.842503,1517223212.9222822,0.07977914810180664,-1
benchmarking,siumulator_no_flask,stream_file,,1517223212.9225807,1517223212.9460294,0.023448705673217773,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223212.956238,1517223212.959981,0.0037429332733154297,-1
benchmarking,siumulator_no_flask,image_binning,,1517223212.9600365,1517223212.9600377,1.1920928955078125e-06,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223212.960061,1517223213.0148,0.05473899841308594,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223212.956238,1517223213.0148425,0.05860447883605957,-1
benchmarking,siumulator_no_flask,stream_file,,1517223213.0150855,1517223213.0335705,0.018485069274902344,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223213.043773,1517223213.0468051,0.003032207489013672,-1
benchmarking,siumulator_no_flask,image_binning,,1517223213.046849,1517223213.0468497,7.152557373046875e-07,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223213.0468683,1517223213.096978,0.0501096248626709,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223213.043773,1517223213.0970156,0.05324268341064453,-1
benchmarking,siumulator_no_flask,stream_file,,1517223213.0972488,1517223213.1146035,0.017354726791381836,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223213.1247861,1517223213.127914,0.0031278133392333984,-1
benchmarking,siumulator_no_flask,image_binning,,1517223213.127985,1517223213.1279864,1.430511474609375e-06,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223213.1280172,1517223213.20114,0.07312273979187012,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223213.1247861,1517223213.201184,0.07639789581298828,-1
benchmarking,siumulator_no_flask,stream_file,,1517223213.201422,1517223213.2208216,0.019399642944335938,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223213.23106,1517223213.234201,0.0031409263610839844,-1
benchmarking,siumulator_no_flask,image_binning,,1517223213.2342474,1517223213.2342484,9.5367431640625e-07,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223213.234268,1517223213.284743,0.050475120544433594,-1
